,$$n_i$$,signals,r
0,2,1,1.0
1,1,0,1.0
2,4,1,1.0
3,11,1,1.0
4,1,0,1.0
5,8,1,1.0
6,1,1,1.0
7,2,0,1.0
8,0,0,1.0
9,6,1,1.0
10,4,0,1.0
11,2,0,1.0
12,7,1,1.0
13,1,0,1.0
14,10,1,1.0
15,9,1,1.0
16,7,1,1.0
17,3,0,1.0
18,4,1,1.0
19,8,1,1.0
20,7,0,1.0
21,6,1,1.0
22,8,1,1.0
23,3,0,1.0
24,1,0,1.0
25,1,0,1.0
26,0,0,1.0
27,0,0,1.0
28,0,0,1.0
29,6,1,1.0
30,7,1,1.0
31,8,1,1.0
32,5,0,1.0
33,3,0,1.0
34,5,1,1.0
35,6,1,1.0
36,7,1,1.0
37,5,0,1.0
38,2,1,1.0
39,8,1,1.0
40,11,1,1.0
41,9,0,1.0
42,1,0,1.0
43,0,0,1.0
44,4,1,1.0
45,1,0,1.0
46,5,1,1.0
47,9,1,1.0
48,3,0,1.0
49,8,1,1.0
50,17,1,1.5
51,14,0,1.5
52,22,1,1.5
53,18,1,1.5
54,11,0,1.5
55,19,1,1.5
56,28,1,1.5
57,10,0,1.5
58,6,0,1.5
59,20,1,1.5
60,11,0,1.5
61,3,0,1.5
62,10,1,1.5
63,8,0,1.5
64,15,1,1.5
65,18,1,1.5
66,32,1,1.5
67,11,0,1.5
68,23,1,1.5
69,29,1,1.5
70,10,0,1.5
71,26,1,1.5
72,16,1,1.5
73,7,0,1.5
74,9,0,1.5
75,0,0,1.5
76,0,0,1.5
77,0,0,1.5
78,0,0,1.5
79,13,1,1.5
80,21,1,1.5
81,23,1,1.5
82,13,0,1.5
83,5,0,1.5
84,15,1,1.5
85,21,1,1.5
86,20,1,1.5
87,11,0,1.5
88,6,1,1.5
89,26,1,1.5
90,23,1,1.5
91,16,0,1.5
92,3,0,1.5
93,3,0,1.5
94,21,1,1.5
95,11,0,1.5
96,15,1,1.5
97,24,1,1.5
98,11,0,1.5
99,27,1,1.5
100,32,1,2.0
101,16,0,2.0
102,40,1,2.0
103,53,1,2.0
104,19,0,2.0
105,39,1,2.0
106,62,1,2.0
107,22,0,2.0
108,13,0,2.0
109,40,1,2.0
110,33,0,2.0
111,8,0,2.0
112,37,1,2.0
113,16,0,2.0
114,46,1,2.0
115,58,1,2.0
116,59,1,2.0
117,24,0,2.0
118,54,1,2.0
119,51,1,2.0
120,19,0,2.0
121,37,1,2.0
122,66,1,2.0
123,21,0,2.0
124,11,0,2.0
125,2,0,2.0
126,2,0,2.0
127,1,0,2.0
128,1,0,2.0
129,41,1,2.0
130,62,1,2.0
131,72,1,2.0
132,24,0,2.0
133,7,0,2.0
134,50,1,2.0
135,59,1,2.0
136,63,1,2.0
137,35,0,2.0
138,57,1,2.0
139,58,1,2.0
140,70,1,2.0
141,26,0,2.0
142,15,0,2.0
143,6,0,2.0
144,28,1,2.0
145,24,0,2.0
146,49,1,2.0
147,67,1,2.0
148,26,0,2.0
149,46,1,2.0
150,67,1,2.5
151,31,0,2.5
152,80,1,2.5
153,97,1,2.5
154,39,0,2.5
155,80,1,2.5
156,102,1,2.5
157,45,0,2.5
158,26,0,2.5
159,74,1,2.5
160,34,0,2.5
161,10,0,2.5
162,67,1,2.5
163,34,0,2.5
164,73,1,2.5
165,108,1,2.5
166,115,1,2.5
167,43,0,2.5
168,81,1,2.5
169,89,1,2.5
170,44,0,2.5
171,87,1,2.5
172,134,1,2.5
173,51,0,2.5
174,20,0,2.5
175,7,0,2.5
176,5,0,2.5
177,0,0,2.5
178,2,0,2.5
179,61,1,2.5
180,102,1,2.5
181,106,1,2.5
182,49,0,2.5
183,21,0,2.5
184,77,1,2.5
185,96,1,2.5
186,97,1,2.5
187,44,0,2.5
188,84,1,2.5
189,104,1,2.5
190,114,1,2.5
191,44,0,2.5
192,18,0,2.5
193,11,0,2.5
194,75,1,2.5
195,22,0,2.5
196,77,1,2.5
197,104,1,2.5
198,44,0,2.5
199,89,1,2.5
